#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz    dx2    tot
# NKPTS & NBANDS: 300  64
# Band-Index    1
   2.20121    -11.565891  0.038  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.045
   2.21339    -11.529410  0.036  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.22558    -11.493262  0.034  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.047
   2.23777    -11.457655  0.035  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.045
   2.24996    -11.422819  0.033  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.26215    -11.389012  0.034  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   2.26215    -11.389012  0.034  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   2.27434    -11.405132  0.034  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.28653    -11.420290  0.034  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.29871    -11.434481  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.31090    -11.447699  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.32309    -11.459942  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.33528    -11.471207  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.34747    -11.481489  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.35966    -11.490787  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.37184    -11.499100  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.38403    -11.506425  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.39622    -11.512762  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.40841    -11.518112  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.42060    -11.522474  0.035  0.004  0.002  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.43279    -11.525849  0.035  0.004  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.44498    -11.528238  0.035  0.004  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.45716    -11.529644  0.035  0.004  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.46935    -11.530068  0.034  0.004  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.046
   2.48154    -11.529515  0.034  0.004  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.045
   2.49373    -11.527987  0.033  0.004  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.045
   2.50592    -11.525490  0.033  0.004  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   2.51811    -11.522030  0.033  0.004  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   2.53029    -11.517612  0.033  0.005  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   2.54248    -11.512246  0.033  0.005  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   2.55467    -11.505938  0.032  0.005  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   2.56686    -11.498702  0.032  0.006  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.043
   2.57905    -11.490549  0.031  0.006  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.043
   2.59124    -11.481492  0.030  0.007  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.043
   2.60343    -11.471548  0.030  0.007  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.043
   2.61561    -11.460735  0.030  0.007  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.041
   2.62780    -11.449078  0.029  0.007  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.041
   2.63999    -11.436603  0.028  0.008  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.040
   2.65218    -11.423340  0.027  0.008  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.040
   2.66437    -11.409328  0.027  0.008  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.040
   2.67656    -11.394612  0.025  0.008  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.039
   2.68875    -11.379247  0.024  0.009  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.038
   2.70093    -11.363299  0.023  0.009  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.038
   2.71312    -11.346850  0.021  0.009  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.036
   2.72531    -11.330003  0.020  0.009  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.035
   2.73750    -11.312885  0.018  0.010  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.034
   2.74969    -11.295656  0.017  0.011  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.034
   2.76188    -11.278517  0.015  0.011  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.032
   2.77406    -11.261725  0.012  0.012  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.031
   2.78625    -11.245602  0.011  0.012  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.028
   2.79844    -11.230550  0.007  0.012  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.027
   2.81063    -11.217046  0.006  0.012  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.026
   2.82282    -11.205642  0.004  0.012  0.001  0.004  0.000  0.000  0.000  0.000  0.000  0.024
   2.83501    -11.196921  0.001  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.023
   2.84720    -11.191425  0.000  0.012  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.021
   2.85938    -11.189545  0.000  0.008  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.020
   2.85938    -11.389012  0.034  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.044
   2.86642    -11.405453  0.034  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.87346    -11.421591  0.034  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.88050    -11.437417  0.034  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.88753    -11.452928  0.034  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.89457    -11.468123  0.034  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.90161    -11.483000  0.034  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.90864    -11.497557  0.034  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.91568    -11.511792  0.036  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.92272    -11.525704  0.036  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
   2.92975    -11.539289  0.036  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.046
